,Shot rate,000.Total  cycle time  [s],009. Plasticizing  time [s],008.Filling  time [s],015.Peak  value Inj.  Pressure  [psi],016. Change- over Inj.  Pressure  [psi],012.Min.melt  cushion [in],014.Volume  for end HP  [in],111.Cooling  time [s],112.Holding  pressure  time [s],092.Peak  value  Holding  pressure  [psi],136.Injection  volume [in],051.Shot  vol. before  injection [in],machine_id,order,datetime,filepath,group_id
0,201,89.68,26.25,11.3,1507.0,1504.0,1.4,1.62,38.0,8.0,502.0,10.05,11.92,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-05-04 15:24:50,./test_data2/imm3_250.xls,6
1,202,89.6,26.23,11.29,1498.0,1497.0,1.39,1.61,38.0,8.0,502.0,10.06,11.93,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-05-04 15:24:50,./test_data2/imm3_250.xls,6
2,203,89.59,26.17,11.3,1507.0,1504.0,1.39,1.61,38.0,8.0,502.0,10.06,11.93,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-05-04 15:24:50,./test_data2/imm3_250.xls,6
3,204,89.79,26.29,11.3,1501.0,1500.0,1.39,1.62,38.0,8.0,502.0,10.06,11.93,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-05-04 15:24:50,./test_data2/imm3_250.xls,6
4,205,89.79,26.16,11.29,1478.0,1474.0,1.39,1.61,38.0,8.0,502.0,10.06,11.93,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-05-04 15:24:50,./test_data2/imm3_250.xls,6
5,206,89.75,26.12,11.28,1479.0,1478.0,1.39,1.61,38.0,8.0,502.0,10.05,11.93,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-05-04 15:24:50,./test_data2/imm3_250.xls,6
6,207,89.7,26.1,11.28,1462.0,1461.0,1.39,1.6,38.0,8.0,502.0,10.06,11.92,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-05-04 15:24:50,./test_data2/imm3_250.xls,6
7,208,89.77,26.49,11.29,1479.0,1478.0,1.4,1.61,38.0,8.0,503.0,10.05,11.93,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-05-04 15:24:50,./test_data2/imm3_250.xls,6
8,209,89.75,26.4,11.29,1487.0,1485.0,1.4,1.62,38.0,8.0,502.0,10.05,11.93,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-05-04 15:24:50,./test_data2/imm3_250.xls,6
9,210,89.74,26.23,11.29,1476.0,1474.0,1.39,1.61,38.0,8.0,502.0,10.06,11.93,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-05-04 15:24:50,./test_data2/imm3_250.xls,6
10,211,89.74,26.27,11.29,1459.0,1456.0,1.4,1.6,38.0,8.0,502.0,10.04,11.93,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-05-04 15:24:50,./test_data2/imm3_250.xls,6
11,212,89.78,26.23,11.29,1481.0,1479.0,1.39,1.61,38.0,8.0,503.0,10.05,11.93,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-05-04 15:24:50,./test_data2/imm3_250.xls,6
12,213,89.62,26.2,11.29,1468.0,1466.0,1.39,1.6,38.0,8.0,502.0,10.06,11.93,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-05-04 15:24:50,./test_data2/imm3_250.xls,6
13,214,89.76,26.37,11.29,1485.0,1484.0,1.39,1.61,38.0,8.0,502.0,10.04,11.93,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-05-04 15:24:50,./test_data2/imm3_250.xls,6
14,215,89.69,26.2,11.28,1471.0,1468.0,1.39,1.61,38.0,8.0,502.0,10.05,11.93,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-05-04 15:24:50,./test_data2/imm3_250.xls,6
15,216,89.59,26.24,11.29,1472.0,1471.0,1.39,1.61,38.0,8.0,502.0,10.05,11.93,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-05-04 15:24:50,./test_data2/imm3_250.xls,6
16,217,89.72,26.35,11.29,1487.0,1484.0,1.39,1.61,38.0,8.0,503.0,10.06,11.93,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-05-04 15:24:50,./test_data2/imm3_250.xls,6
17,218,89.77,26.17,11.28,1468.0,1463.0,1.39,1.61,38.0,8.0,502.0,10.05,11.93,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-05-04 15:24:50,./test_data2/imm3_250.xls,6
18,219,89.86,26.35,11.29,1463.0,1461.0,1.39,1.6,38.0,8.0,502.0,10.05,11.93,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-05-04 15:24:50,./test_data2/imm3_250.xls,6
19,220,89.63,26.2,11.28,1461.0,1459.0,1.39,1.6,38.0,8.0,502.0,10.05,11.93,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-05-04 15:24:50,./test_data2/imm3_250.xls,6
20,221,89.76,26.18,11.29,1462.0,1461.0,1.39,1.6,38.0,8.0,502.0,10.06,11.93,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-05-04 15:24:50,./test_data2/imm3_250.xls,6
21,222,89.6,26.33,11.29,1479.0,1476.0,1.39,1.61,38.0,8.0,503.0,10.06,11.93,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-05-04 15:24:50,./test_data2/imm3_250.xls,6
22,223,89.69,26.29,11.29,1469.0,1465.0,1.39,1.61,38.0,8.0,502.0,10.04,11.93,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-05-04 15:24:50,./test_data2/imm3_250.xls,6
23,224,89.63,26.24,11.29,1476.0,1472.0,1.39,1.61,38.0,8.0,502.0,10.05,11.93,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-05-04 15:24:50,./test_data2/imm3_250.xls,6
24,225,89.68,26.17,11.29,1468.0,1466.0,1.39,1.6,38.0,8.0,502.0,10.04,11.93,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-05-04 15:24:50,./test_data2/imm3_250.xls,6
25,226,89.74,26.57,11.29,1484.0,1482.0,1.4,1.61,38.0,8.0,502.0,10.05,11.93,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-05-04 15:24:50,./test_data2/imm3_250.xls,6
26,227,89.59,26.18,11.29,1463.0,1462.0,1.39,1.6,38.0,8.0,503.0,10.05,11.93,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-05-04 15:24:50,./test_data2/imm3_250.xls,6
27,228,89.61,26.28,11.29,1476.0,1475.0,1.39,1.61,38.0,8.0,502.0,10.05,11.93,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-05-04 15:24:50,./test_data2/imm3_250.xls,6
28,229,89.7,26.35,11.29,1481.0,1476.0,1.39,1.61,38.0,8.0,502.0,10.06,11.93,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-05-04 15:24:50,./test_data2/imm3_250.xls,6
29,230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-05-04 15:24:50,./test_data2/imm3_250.xls,6
30,233,89.76,24.27,11.29,1397.0,1392.0,1.39,1.57,38.0,8.0,502.0,10.06,11.93,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-05-04 15:24:50,./test_data2/imm3_250.xls,6
31,234,89.82,25.05,11.28,1443.0,1442.0,1.4,1.6,38.0,8.0,502.0,10.05,11.93,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-05-04 15:24:50,./test_data2/imm3_250.xls,6
32,235,89.72,25.74,11.3,1488.0,1485.0,1.39,1.61,38.0,8.0,502.0,10.06,11.93,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-05-04 15:24:50,./test_data2/imm3_250.xls,6
33,236,89.76,25.89,11.29,1482.0,1478.0,1.39,1.61,38.0,8.0,502.0,10.06,11.93,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-05-04 15:24:50,./test_data2/imm3_250.xls,6
34,237,89.72,25.79,11.3,1503.0,1500.0,1.39,1.61,38.0,8.0,502.0,10.05,11.93,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-05-04 15:24:50,./test_data2/imm3_250.xls,6
35,238,89.8,25.57,11.29,1475.0,1474.0,1.39,1.61,38.0,8.0,503.0,10.06,11.93,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-05-04 15:24:50,./test_data2/imm3_250.xls,6
36,239,89.66,25.96,11.29,1485.0,1482.0,1.39,1.61,38.0,8.0,502.0,10.06,11.93,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-05-04 15:24:50,./test_data2/imm3_250.xls,6
37,240,89.82,25.98,11.3,1501.0,1498.0,1.39,1.62,38.0,8.0,502.0,10.06,11.93,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-05-04 15:24:50,./test_data2/imm3_250.xls,6
38,241,89.65,26.06,11.29,1481.0,1481.0,1.39,1.61,38.0,8.0,502.0,10.06,11.93,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-05-04 15:24:50,./test_data2/imm3_250.xls,6
39,242,89.77,26.16,11.29,1482.0,1479.0,1.39,1.61,38.0,8.0,502.0,10.06,11.93,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-05-04 15:24:50,./test_data2/imm3_250.xls,6
40,243,89.76,25.95,11.28,1466.0,1466.0,1.39,1.61,38.0,8.0,502.0,10.04,11.93,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-05-04 15:24:50,./test_data2/imm3_250.xls,6
41,244,89.76,26.14,11.28,1462.0,1461.0,1.4,1.6,38.0,8.0,502.0,10.05,11.93,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-05-04 15:24:50,./test_data2/imm3_250.xls,6
42,245,89.78,26.12,11.29,1488.0,1485.0,1.39,1.61,38.0,8.0,502.0,10.06,11.93,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-05-04 15:24:50,./test_data2/imm3_250.xls,6
43,246,89.58,26.17,11.3,1497.0,1494.0,1.39,1.61,38.0,8.0,502.0,10.04,11.93,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-05-04 15:24:50,./test_data2/imm3_250.xls,6
44,247,89.71,26.25,11.29,1491.0,1490.0,1.39,1.62,38.0,8.0,502.0,10.05,11.93,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-05-04 15:24:50,./test_data2/imm3_250.xls,6
45,248,89.75,26.28,11.29,1474.0,1472.0,1.39,1.61,38.0,8.0,502.0,10.05,11.92,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-05-04 15:24:50,./test_data2/imm3_250.xls,6
46,249,89.59,26.04,11.29,1472.0,1469.0,1.39,1.61,38.0,8.0,502.0,10.06,11.93,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-05-04 15:24:50,./test_data2/imm3_250.xls,6
47,250,89.76,26.09,11.29,1484.0,1479.0,1.39,1.61,38.0,8.0,502.0,10.06,11.93,Battenfeld UNILOG B8,Order no.: MacroPower 2000-16800 B8,2021-05-04 15:24:50,./test_data2/imm3_250.xls,6
